Date,Start Date,End Date,Total Trades,Wins,Losses,WinRate,Final NAV,Daily Return,TP,SL,Entry Time Offset,Percentage Change
2024-06-21 08:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,1.0292401099999933,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-21 20:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,1.0292401099999933,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-23 12:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,0.0,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-24 02:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,-1.4690101399999915,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-25 04:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,-0.45488967158083987,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-25 12:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,-0.45488967158083987,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-26 13:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,0.0,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-27 08:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,0.0,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-28 08:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,1.0292401099999886,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-28 16:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,1.0292401099999886,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-29 03:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,0.0,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
2024-06-30 06:00:00,2024-06-01,2024-07-01,18,11,7,0.6111111111111112,101171.50777635837,-1.4690101399999909,0.010999999999999998,0.013999999999999995,80,0.0007000000000000001
