Datetime,Event,Date,Time,Cur.,Imp.,Actual,Forecast,Previous
2024-02-01 13:30:00,Jobless Claims 4-Week Avg.,,,,,,,
2024-02-01 14:45:00,S&P Global US Manufacturing PMI (Jan),,,,,,,
2024-02-01 15:00:00,ISM Manufacturing Prices (Jan),,,,,,,
2024-02-01 15:00:00,ISM Manufacturing PMI (Jan),,,,,,,
2024-02-01 15:00:00,ISM Manufacturing New Orders Index (Jan),,,,,,,
2024-02-01 15:00:00,ISM Manufacturing Employment (Jan),,,,,,,
2024-02-01 15:00:00,Construction Spending (MoM) (Dec),,,,,,,
2024-02-01 15:30:00,Natural Gas Storage,,,,,,,
2024-02-01 16:30:00,8-Week Bill Auction,,,,,,,
2024-02-01 16:30:00,4-Week Bill Auction,,,,,,,
2024-02-01 17:45:00,Atlanta Fed GDPNow (Q1),,,,,,,
2024-02-01 19:30:00,FOMC Press Conference,,,,,,,
2024-02-01 21:30:00,Fed's Balance Sheet,,,,,,,
2024-02-01 21:30:00,Reserve Balances with Federal Reserve Banks,,,,,,,
2024-02-02 13:30:00,Government Payrolls (Jan),,,,,,,
2024-02-02 13:30:00,Nonfarm Payrolls (Jan),,,,,,,
2024-02-02 13:30:00,Average Hourly Earnings (MoM) (Jan),,,,,,,
2024-02-02 13:30:00,Average Hourly Earnings (YoY) (YoY) (Jan),,,,,,,
2024-02-02 13:30:00,Average Weekly Hours (Jan),,,,,,,
2024-02-02 13:30:00,Manufacturing Payrolls (Jan),,,,,,,
2024-02-02 13:30:00,U6 Unemployment Rate (Jan),,,,,,,
2024-02-02 13:30:00,Payrolls Benchmark,,,,,,,
2024-02-02 13:30:00,"Payrolls Benchmark, n.s.a.",,,,,,,
2024-02-02 13:30:00,Private Nonfarm Payrolls (Jan),,,,,,,
2024-02-02 13:30:00,Participation Rate (Jan),,,,,,,
2024-02-02 13:30:00,Unemployment Rate (Jan),,,,,,,
