Signal Strength: Strong,,,,,,,,,,,,,,,,,,,,,,,,,
Order Execution: Immediately,,,,,,,,,,,,,,,,,,,,,,,,,
Investment,100000,,,,,,,,,,,,,,,,,,,,,,,,
Leverage,1,,,,,,,,,,,Jan,Feb,Mar,Apr,May,June,Total,,,,,,,
TP,0.009,,,,,,,,,,,,,,,,,,,,,,,,
SL,-0.0142,,,,,,,,,,,,,,,,,,,,,,,,
date,time,side,result,return,nav,cum_roi,bars 15,duration m,duration H,,Total Trades,38,27,45,37,38,32,217,,0,1,1,1,1,0
15-May,18,Buy,1,0.90%,123113.0845,23.11%,3,45,0.75,,,,,,,,,,,,,,,,
16-May,3,Sell,1,0.90%,124221.1023,24.22%,54,810,13.5,,,,,,,,,,,,,,,,
17-May,0,Buy,1,0.90%,125339.0922,25.34%,14,210,3.5,,,,,,,,,,,,,,,,
17-May,16,Buy,0,-1.42%,123559.2771,23.56%,204,3060,51,,,,,,,,,,,,,,,,
18-May,12,Sell,1,0.90%,124671.3106,24.67%,10,150,2.5,,,,,,,,,,,,,,,,
18-May,17,Sell,1,0.90%,125793.3524,25.79%,104,1560,26,,,,,,,,,,,,,,,,
19-May,10,Sell,1,0.90%,126925.4925,26.93%,36,540,9,,,,,,,,,,,,,,,,
20-May,1,Buy,1,0.90%,128067.822,28.07%,14,210,3.5,,,,,,,,,,,,,,,,
20-May,12,Sell,0,-1.42%,126249.2589,26.25%,18,270,4.5,,,,,,,,,,,,,,,,
20-May,21,Sell,0,-1.42%,124456.5194,24.46%,9,135,2.25,,,,,,,,,,,,,,,,
21-May,17,Sell,1,0.90%,125576.6281,25.58%,112,1680,28,,,,,,,,,,,,,,,,
21-May,21,Buy,1,0.90%,126706.8177,26.71%,9,135,2.25,,,,,,,,,,,,,,,,
23-May,0,Sell,1,0.90%,127847.1791,27.85%,54,810,13.5,,,,,,,,,,,,,,,,
24-May,8,Buy,1,0.90%,128997.8037,29.00%,25,375,6.25,,,,,,,,,,,,,,,,
25-May,9,Buy,1,0.90%,130158.7839,30.16%,8,120,2,,,,,,,,,,,,,,,,
25-May,20,Sell,1,0.90%,131330.213,31.33%,100,1500,25,,,,,,,,,,,,,,,,
26-May,23,Buy,1,0.90%,132512.1849,32.51%,10,150,2.5,,,,,,,,,,,,,,,,
27-May,8,Sell,0,-1.42%,130630.5119,30.63%,28,420,7,,,,,,,,,,,,,,,,
29-May,14,Buy,1,0.90%,131806.1865,31.81%,95,1425,23.75,,,,,,,,,,,,,,,,
1-Jun,0,Sell,0,-1.42%,129934.5386,29.93%,197,2955,49.25,,,,,,,,,,,,,,,,
1-Jun,23,Buy,1,0.90%,131103.9495,31.10%,61,915,15.25,,,,,,,,,,,,,,,,
3-Jun,2,Sell,0,-1.42%,129242.2734,29.24%,42,630,10.5,,,,,,,,,,,,,,,,
4-Jun,1,Buy,1,0.90%,130405.4539,30.41%,50,750,12.5,,,,,,,,,,,,,,,,
5-Jun,0,Sell,0,-1.42%,128553.6964,28.55%,63,945,15.75,,,,,,,,,,,,,,,,
5-Jun,23,Buy,1,0.90%,129710.6797,29.71%,148,2220,37,,,,,,,,,,,,,,,,
6-Jun,8,Sell,1,0.90%,130878.0758,30.88%,48,720,12,,,,,,,,,,,,,,,,
7-Jun,17,Sell,1,0.90%,132055.9785,32.06%,2,30,0.5,,,,,,,,,,,,,,,,
7-Jun,23,Buy,1,0.90%,133244.4823,33.24%,259,3885,64.75,,,,,,,,,,,,,,,,
10-Jun,6,Sell,1,0.90%,134443.6826,34.44%,79,1185,19.75,,,,,,,,,,,,,,,,
11-Jun,12,Buy,1,0.90%,135653.6758,35.65%,31,465,7.75,,,,,,,,,,,,,,,,
11-Jun,15,Sell,1,0.90%,136874.5589,36.87%,2,30,0.5,,,,,,,,,,,,,,,,
13-Jun,4,Buy,1,0.90%,138106.4299,38.11%,34,510,8.5,,,,,,,,,,,,,,,,
13-Jun,16,Sell,1,0.90%,139349.3878,39.35%,96,1440,24,,,,,,,,,,,,,,,,
14-Jun,16,Sell,1,0.90%,140603.5323,40.60%,3,45,0.75,,,,,,,,,,,,,,,,
